Depth,GR,RHOB,Vel
1694.73,76.89,2.51,3232
1694.88,78.62,2.52,3264
1695.03,79.2,2.521,3291
1695.18,77.1,2.512,3297
1695.33,75.78,2.514,3264
1695.49,75.21,2.51,3221
1695.64,77.32,2.507,3195
1695.79,79.55,2.502,3180
1695.94,79.33,2.483,3200
1696.1,82.15,2.476,3237
1696.25,82.77,2.48,3258
1696.4,82.13,2.487,3274
1696.55,81.57,2.495,3253
1696.71,77.69,2.502,3242
1696.86,74.36,2.511,3302
1697.01,73.4,2.518,3242
1697.16,76.52,2.518,3210
1697.32,80.77,2.505,3221
1697.47,83.52,2.477,3231
1697.62,83.48,2.464,3236
1697.77,81.12,2.477,3236
1697.93,78.82,2.497,3231
1698.08,76.59,2.502,3236
1698.23,76.46,2.502,3301
1698.38,76.02,2.51,3463
1698.54,73.92,2.522,3439
1698.69,74.79,2.529,3421
1698.84,74.15,2.523,3415
1698.99,73.4,2.503,3329
1699.14,75.79,2.482,3263
1699.3,78.81,2.473,3306
1699.45,79.62,2.48,3241
1699.6,79.46,2.497,3220
1699.75,80.17,2.512,3236
1699.91,81.04,2.516,3273
1700.06,79.84,2.52,3314
1700.21,81.17,2.529,3336
1700.36,82.32,2.538,3353
1700.52,80.93,2.544,3359
1700.67,79.37,2.543,3342
1700.82,77.49,2.534,3313
1700.97,75.1,2.516,3291
1701.13,72.17,2.506,3280
1701.28,70.56,2.506,3264
1701.43,75.9,2.508,3242
1701.58,79.93,2.502,3226
1701.74,83.24,2.498,3215
1701.89,83.91,2.513,3205
1702.04,84.34,2.524,3205
1702.19,85.43,2.524,3205
1702.35,87.36,2.527,3205
1702.5,89.7,2.55,3199
1702.65,88.7,2.573,3199
1702.8,87.53,2.577,3199
1702.95,84.3,2.586,3199
1703.11,83.88,2.592,3199
1703.26,83.71,2.567,3204
1703.41,81.6,2.531,3204
1703.56,80.69,2.52,3199
1703.72,80.88,2.527,3198
1703.87,84.13,2.525,3198
1704.02,86.51,2.517,3198
1704.17,87.12,2.516,3203
1704.33,85.97,2.524,3203
1704.48,85.36,2.536,3240
1704.63,82.63,2.55,3367
1704.78,78.61,2.554,3474
1704.94,75.78,2.541,3536
1705.09,76.89,2.524,3517
1705.24,80,2.522,3378
1705.39,79.87,2.525,3333
1705.55,76.84,2.518,3413
1705.7,73,2.516,3492
1705.85,70.43,2.516,3574
1706,68.12,2.511,3600
1706.16,63.89,2.501,3535
1706.31,60.36,2.505,3467
1706.46,62.39,2.506,3389
1706.61,67.99,2.483,3255
1706.76,68.87,2.46,3196
1706.92,65.19,2.455,3298
1707.07,61.12,2.464,3309
1707.22,59.87,2.478,3281
1707.37,61.43,2.484,3175
1707.53,63.25,2.487,3115
1707.68,63.32,2.474,3155
1707.83,62.4,2.465,3180
1707.98,63.63,2.467,3211
1708.14,65.89,2.471,3238
1708.29,65.02,2.475,3222
1708.44,62.37,2.474,3211
1708.59,61.71,2.469,3195
1708.75,64.59,2.47,3195
1708.9,65.61,2.472,3195
1709.05,66.97,2.479,3195
1709.2,68.19,2.489,3195
1709.36,70.22,2.491,3195
1709.51,71,2.485,3195
1709.66,71.23,2.473,3200
1709.81,70.98,2.465,3200
1709.97,71.2,2.474,3210
1710.12,70.56,2.501,3215
1710.27,71.9,2.518,3225
1710.42,76.1,2.522,3236
1710.57,79.14,2.523,3252
1710.73,78.39,2.516,3262
1710.88,75.25,2.504,3279
1711.03,72.99,2.494,3284
1711.18,71.09,2.502,3257
1711.34,68.59,2.511,3230
1711.49,70.32,2.512,3230
1711.64,74.75,2.506,3230
1711.79,73.8,2.502,3235
1711.95,69.13,2.5,3240
1712.1,64.85,2.486,3251
1712.25,64.38,2.48,3219
1712.4,65.79,2.477,3213
1712.56,65.82,2.461,3234
1712.71,65.61,2.446,3272
1712.86,65.46,2.452,3288
1713.01,67.42,2.472,3283
1713.17,69.18,2.496,3208
1713.32,71.21,2.516,3171
1713.47,72.88,2.531,3176
1713.62,74,2.536,3176
1713.78,74.03,2.524,3187
1713.93,72.5,2.503,3192
1714.08,70.73,2.482,3191
1714.23,69.37,2.467,3197
1714.38,71.01,2.464,3196
1714.54,75.5,2.465,3196
1714.69,76.85,2.467,3207
1714.84,73.91,2.477,3217
1714.99,71.24,2.491,3227
1715.15,72.57,2.497,3233
1715.3,75.5,2.49,3233
1715.45,77.04,2.481,3238
1715.6,76.66,2.478,3243
1715.76,75.12,2.482,3248
1715.91,73.22,2.487,3248
1716.06,72.15,2.491,3253
1716.21,72.42,2.485,3253
1716.37,75.31,2.483,3259
1716.52,79.68,2.484,3258
1716.67,81.14,2.486,3264
1716.82,79.13,2.495,3264
1716.98,74.82,2.504,3269
1717.13,71.01,2.511,3269
1717.28,70.88,2.509,3269
1717.43,74.15,2.5,3274
1717.59,76.74,2.499,3274
1717.74,76.21,2.514,3274
1717.89,74.6,2.527,3274
1718.04,73.71,2.52,3268
1718.19,74,2.518,3273
1718.35,74.79,2.517,3295
1718.5,74.44,2.516,3317
1718.65,73.52,2.512,3246
1718.8,74.36,2.51,3214
1718.96,77.48,2.512,3188
1719.11,81.94,2.515,3183
1719.26,83.18,2.511,3225
1719.41,81.28,2.492,3278
1719.57,79.3,2.477,3311
1719.72,78.21,2.49,3256
1719.87,78.89,2.511,3203
1720.02,81.28,2.51,3172
1720.18,85.59,2.492,3152
1720.33,87.56,2.478,3167
1720.48,86.84,2.478,3229
1720.63,85.22,2.493,3272
1720.79,84.18,2.498,3283
1720.94,80.93,2.495,3282
1721.09,77.44,2.502,3288
1721.24,76.31,2.518,3293
1721.4,77.03,2.527,3304
1721.55,76.41,2.522,3315
1721.7,75.52,2.507,3321
1721.85,77.91,2.498,3304
1722,81.6,2.495,3271
1722.16,83.65,2.493,3196
1722.31,82.11,2.503,3166
1722.46,77.82,2.511,3228
1722.61,74.09,2.5,3309
1722.77,69.09,2.49,3388
1722.92,64.01,2.485,3460
1723.07,60.93,2.493,3503
1723.22,57.19,2.496,3534
1723.38,55.11,2.477,3534
1723.53,54.58,2.461,3502
1723.68,54.79,2.448,3453
1723.83,54.78,2.437,3399
1723.99,53.71,2.436,3347
1724.14,54.15,2.451,3297
1724.29,57.08,2.467,3248
1724.44,60.32,2.465,3185
1724.6,59.06,2.44,3129
1724.75,55.4,2.416,3085
1724.9,53.4,2.404,3032
1725.05,54.55,2.4,2991
1725.21,57.3,2.393,2950
1725.36,59.07,2.389,2920
1725.51,60.22,2.383,2907
1725.66,61.5,2.371,2915
1725.81,60.16,2.357,2920
1725.97,54.46,2.354,2946
1726.12,48.69,2.371,2990
1726.27,45.42,2.39,3069
1726.42,46.06,2.399,3209
1726.58,46.74,2.385,3550
1726.73,43.75,2.362,3917
1726.88,38.67,2.363,4071
1727.03,36.31,2.397,3825
1727.19,39.61,2.43,3475
